attributes,2XS,XS,S,M,L,XL,2XL
Body Height,< 166 cm,166 - 172 cm,172 - 178 cm,178 - 184 cm,184 - 190 cm,190 - 196 cm,> 196 cm
Seat Height,650 - 750 mm,680 - 780 mm,710 - 810 mm,740 - 840 mm,770 - 870 mm,800 - 900 mm,830 - 930 mm
Seat Tube Length,442 mm,472 mm,502 mm,532 mm,562 mm,592 mm,622 mm
Top Tube Length,520 mm,535 mm,546 mm,556 mm,570 mm,595 mm,610 mm
Head Tube Length,107 mm,124 mm,148 mm,167 mm,193 mm,215 mm,234 mm
Head Tube Angle,"69,2°",71°,72°,73°,73°,"73,3°","73,3°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,415 mm,415 mm,415 mm,415 mm,415 mm
Wheel Base,990 mm,990 mm,993 mm,994 mm,1.008 mm,1.030 mm,1.045 mm
Stack,518 mm,541 mm,565 mm,587 mm,612 mm,634 mm,652 mm
Reach,366 mm,375 mm,379 mm,383 mm,389 mm,407 mm,417 mm
Stack+,602 mm,622 mm,648 mm,670 mm,697 mm,719 mm,739 mm
Reach+,424 mm,436 mm,450 mm,465 mm,481 mm,500 mm,519 mm
Stand-over Height,718 mm,744 mm,774 mm,800 mm,827 mm,852 mm,878 mm
Bottom Bracket Offset,75 mm,75 mm,73 mm,73 mm,73 mm,73 mm,73 mm
Spacer,"27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm"
Stem Length,80 mm,80 mm,90 mm,100 mm,110 mm,110 mm,120 mm
Handlebar Width,380 mm,400 mm,420 mm,420 mm,420 mm,440 mm,440 mm
Crank Length,"170,0 mm","170,0 mm","172,5 mm","172,5 mm","175,0 mm","175,0 mm","175,0 mm"
Chainring Size,50/34,50/34,50/34,50/34,50/34,50/34,50/34
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,190 mm,190 mm,190 mm,190 mm,190 mm,190 mm,190 mm
Seat Post Insertion Depth,90 mm,90 mm,90 mm,90 mm,90 mm,90 mm,90 mm
Wheel Size,"28""","28""","28""","28""","28""","28""","28"""
Disc Size,140 mm,160 mm,160 mm,160 mm,160 mm,160 mm,160 mm
