attributes,2XS,XS,S,M,L,XL,2XL
Body Height,< 166 cm,166 - 172 cm,172 - 178 cm,178 - 184 cm,184 - 190 cm,190 - 196 cm,> 196 cm
Seat Height,623 - 723 mm,653 - 753 mm,683 - 783 mm,713 - 813 mm,743 - 843 mm,773 - 873 mm,803 - 903 mm
Seat Tube Length,432 mm,462 mm,492 mm,522 mm,552 mm,582 mm,612 mm
Top Tube Length,511 mm,527 mm,541 mm,553 mm,568 mm,592 mm,607 mm
Head Tube Length,98 mm,115 mm,139 mm,158 mm,184 mm,206 mm,225 mm
Head Tube Angle,"69,2°",71°,72°,73°,73°,"73,3°","73,3°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,415 mm,415 mm,415 mm,415 mm,415 mm
Wheel Base,980 mm,982 mm,988 mm,990 mm,1.006 mm,1.028 mm,1.043 mm
Stack,510 mm,532 mm,557 mm,578 mm,604 mm,625 mm,644 mm
Reach,360 mm,370 mm,376 mm,382 mm,389 mm,407 mm,417 mm
Stack+,612 mm,632 mm,658 mm,680 mm,708 mm,729 mm,749 mm
Reach+,411 mm,424 mm,441 mm,458 mm,475 mm,494 mm,513 mm
Stand-over Height,724 mm,750 mm,780 mm,806 mm,832 mm,857 mm,881 mm
Bottom Bracket Offset,75 mm,75 mm,73 mm,73 mm,73 mm,73 mm,73 mm
Spacer,"27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm"
Stem Length,80 mm,80 mm,90 mm,100 mm,110 mm,110 mm,120 mm
Handlebar Width,380 mm,400 mm,420 mm,420 mm,420 mm,440 mm,440 mm
Crank Length,"165,0 mm","170,0 mm","172,5 mm","172,5 mm","175,0 mm","175,0 mm","175,0 mm"
Chainring Size,52/36,52/36,52/36,52/36,52/36,52/36,52/36
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm
Seat Post Insertion Depth,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm
Wheel Size,"28""","28""","28""","28""","28""","28""","28"""
Disc Size,140 mm,160 mm,160 mm,160 mm,160 mm,160 mm,160 mm
