attributes,3XS,2XS,XS,S,M
Body Height,< 160 cm,160 - 166 cm,166 - 172 cm,172 - 178 cm,> 178 cm
Seat Height,593 - 693 mm,623 - 723 mm,653 - 753 mm,683 - 783 mm,713 - 813 mm
Seat Tube Length,402 mm,432 mm,462 mm,492 mm,522 mm
Top Tube Length,495 mm,504 mm,521 mm,537 mm,554 mm
Head Tube Length,118 mm,138 mm,133 mm,153 mm,173 mm
Head Tube Angle,70°,"70,8°","70,3°","71,5°","72,5°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,415 mm,415 mm,415 mm
Wheel Base,961 mm,965 mm,983 mm,989 mm,996 mm
Stack,502 mm,524 mm,546 mm,570 mm,593 mm
Reach,347 mm,349 mm,359 mm,369 mm,378 mm
Stack+,585 mm,605 mm,629 mm,653 mm,677 mm
Reach+,406 mm,409 mm,419 mm,439 mm,460 mm
Stand-over Height,683 mm,709 mm,742 mm,769 mm,796 mm
Bottom Bracket Offset,63 mm,63 mm,75 mm,75 mm,75 mm
Spacer,"27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm"
Stem Length,80 mm,80 mm,80 mm,90 mm,100 mm
Handlebar Width,380 mm,380 mm,380 mm,400 mm,400 mm
Crank Length,"165,0 mm","165,0 mm","170,0 mm","172,5 mm","172,5 mm"
Chainring Size,50/34,50/34,50/34,50/34,50/34
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,207 mm,207 mm,207 mm,207 mm,207 mm
Seat Post Insertion Depth,107 mm,107 mm,107 mm,107 mm,107 mm
Wheel Size,"27,5""","27,5""","28""","28""","28"""
Disc Size,140 mm,140 mm,160 mm,160 mm,160 mm
