attributes,3XS,2XS,XS,S,M
Body Height,< 160 cm,160 - 166 cm,166 - 172 cm,172 - 178 cm,> 178 cm
Seat Height,593 - 693 mm,623 - 723 mm,653 - 753 mm,683 - 783 mm,713 - 813 mm
Seat Tube Length,402 mm,432 mm,462 mm,492 mm,522 mm
Top Tube Length,492 mm,502 mm,522 mm,535 mm,551 mm
Head Tube Length,109 mm,129 mm,124 mm,143 mm,164 mm
Head Tube Angle,70°,"70,8°","70,3°","71,5°","72,5°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,415 mm,415 mm,415 mm
Wheel Base,957 mm,962 mm,983 mm,986 mm,993 mm
Stack,494 mm,515 mm,538 mm,561 mm,584 mm
Reach,346 mm,349 mm,362 mm,369 mm,378 mm
Stack+,581 mm,604 mm,627 mm,651 mm,675 mm
Reach+,393 mm,407 mm,419 mm,437 mm,458 mm
Stand-over Height,685 mm,711 mm,746 mm,774 mm,801 mm
Bottom Bracket Offset,63 mm,63 mm,75 mm,75 mm,75 mm
Spacer,"27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm"
Stem Length,70 mm,80 mm,80 mm,90 mm,100 mm
Handlebar Width,380 mm,380 mm,380 mm,400 mm,400 mm
Crank Length,"165,0 mm","165,0 mm","170,0 mm","172,5 mm","172,5 mm"
Chainring Size,50/34,50/34,50/34,50/34,50/34
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,207 mm,207 mm,207 mm,207 mm,207 mm
Seat Post Insertion Depth,107 mm,107 mm,107 mm,107 mm,107 mm
Wheel Size,"27,5""","27,5""","28""","28""","28"""
Disc Size,140 mm,140 mm,160 mm,160 mm,160 mm
