attributes,2XS,XS,S,M,L,XL,2XL
Body Height,< 166 cm,166 - 172 cm,172 - 178 cm,178 - 184 cm,184 - 189 cm,189 - 194 cm,> 194 cm
Seat Height,623 - 723 mm,653 - 753 mm,683 - 783 mm,713 - 813 mm,743 - 843 mm,773 - 873 mm,803 - 903 mm
Seat Tube Length,432 mm,462 mm,492 mm,522 mm,552 mm,582 mm,612 mm
Top Tube Length,516 mm,531 mm,555 mm,577 mm,591 mm,616 mm,631 mm
Head Tube Length,117 mm,133 mm,124 mm,143 mm,169 mm,190 mm,209 mm
Head Tube Angle,70°,71°,"70,8°","72,3°","72,5°","72,8°","72,8°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,430 mm,430 mm,430 mm,430 mm,430 mm
Wheel Base,984 mm,990 mm,1.027 mm,1.035 mm,1.047 mm,1.070 mm,1.085 mm
Stack,514 mm,533 mm,556 mm,579 mm,605 mm,626 mm,644 mm
Reach,364 mm,373 mm,390 mm,405 mm,412 mm,431 mm,440 mm
Stack+,603 mm,624 mm,647 mm,669 mm,696 mm,709 mm,737 mm
Reach+,410 mm,430 mm,447 mm,464 mm,481 mm,500 mm,519 mm
Stand-over Height,725 mm,751 mm,781 mm,808 mm,834 mm,859 mm,881 mm
Bottom Bracket Offset,60 mm,60 mm,75 mm,75 mm,75 mm,75 mm,75 mm
Spacer,"27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm"
Stem Length,70 mm,80 mm,80 mm,80 mm,90 mm,90 mm,100 mm
Handlebar Width,400 mm,400 mm,420 mm,440 mm,440 mm,460 mm,460 mm
Crank Length,"165,0 mm","165,0 mm","170,0 mm","172,5 mm","172,5 mm","175,0 mm","175,0 mm"
Chainring Size,42,42,42,42,42,42,42
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm
Seat Post Insertion Depth,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm
Wheel Size,"27,5""","27,5""","28""","28""","28""","28""","28"""
Disc Size,140 mm,140 mm,160 mm,160 mm,160 mm,160 mm,160 mm
