attributes,2XS,XS,S,M,L,XL,2XL
Body Height,< 166 cm,166 - 172 cm,172 - 178 cm,178 - 184 cm,184 - 190 cm,190 - 196 cm,> 196 cm
Seat Height,623 - 723 mm,653 - 753 mm,683 - 783 mm,713 - 813 mm,743 - 843 mm,773 - 873 mm,803 - 903 mm
Seat Tube Length,432 mm,462 mm,492 mm,522 mm,552 mm,582 mm,612 mm
Head Tube Angle,"70,3°","71,3°",71°,"72,5°","72,5°","72,8°","72,8°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,425 mm,425 mm,425 mm,425 mm,425 mm
Wheel Base,988 mm,990 mm,1.020 mm,1.029 mm,1.040 mm,1.063 mm,1.073 mm
Stack+,595 mm,615 mm,638 mm,660 mm,688 mm,709 mm,729 mm
Reach+,404 mm,425 mm,442 mm,461 mm,478 mm,497 mm,516 mm
Stand-over Height,753 mm,778 mm,805 mm,833 mm,860 mm,888 mm,912 mm
Bottom Bracket Offset,60 mm,60 mm,75 mm,75 mm,75 mm,75 mm,75 mm
Spacer,"15,0 mm","15,0 mm","15,0 mm","15,0 mm","15,0 mm","15,0 mm","15,0 mm"
Cockpit Dimensions,60-400,75-420,75-420,75-440,90-440,90-460,105-460
Crank Length,"170,0 mm","170,0 mm","170,0 mm","172,5 mm","172,5 mm","175,0 mm","175,0 mm"
Chainring Size,48/31,48/31,48/31,48/31,48/31,48/31,48/31
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm
Seat Post Insertion Depth,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm
Wheel Size,"27,5""","27,5""","28""","28""","28""","28""","28"""
Disc Size,140 mm,140 mm,160 mm,160 mm,160 mm,160 mm,160 mm
