attributes,3XS,2XS,XS,S,M
Body Height,< 160 cm,160 - 166 cm,166 - 172 cm,172 - 178 cm,> 178 cm
Seat Height,597 - 697 mm,627 - 727 mm,657 - 757 mm,687 - 787 mm,717 - 817 mm
Seat Tube Length,406 mm,436 mm,466 mm,496 mm,526 mm
Top Tube Length,491 mm,501 mm,521 mm,537 mm,555 mm
Head Tube Length,100 mm,119 mm,113 mm,133 mm,154 mm
Head Tube Angle,"70,5°","71,5°",71°,"72,3°","72,8°"
Seat Tube Angle,"73,83°","73,82°","73,83°","73,82°","73,8°"
Chainstay Length,415 mm,415 mm,415 mm,415 mm,415 mm
Wheel Base,956 mm,959 mm,981 mm,986 mm,999 mm
Stack,485 mm,506 mm,528 mm,551 mm,573 mm
Reach,350 mm,355 mm,368 mm,378 mm,389 mm
Stack+,574 mm,597 mm,619 mm,642 mm,666 mm
Reach+,397 mm,412 mm,426 mm,446 mm,468 mm
Stand-over Height,694 mm,711 mm,745 mm,772 mm,799 mm
Bottom Bracket Offset,60 mm,60 mm,72 mm,72 mm,72 mm
Spacer,"27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm"
Cockpit Dimensions,70-370,80-370,80-370,90-390,100-390
Crank Length,"165,0 mm","165,0 mm","170,0 mm","172,5 mm","172,5 mm"
Chainring Size,52/36,52/36,52/36,52/36,52/36
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,207 mm,207 mm,207 mm,207 mm,207 mm
Seat Post Insertion Depth,107 mm,107 mm,107 mm,107 mm,107 mm
Wheel Size,"27,5""","27,5""","28""","28""","28"""
Disc Size,140 mm,140 mm,160 mm,160 mm,160 mm
