attributes,XS,S,M,L,XL,2XL
Body Height,158 - 168 cm,168 - 178 cm,178 - 184 cm,184 - 190 cm,190 - 196 cm,> 196 cm
Seat Height,633 - 733 mm,673 - 773 mm,713 - 813 mm,743 - 843 mm,773 - 873 mm,803 - 903 mm
Seat Tube Length,442 mm,482 mm,522 mm,552 mm,582 mm,612 mm
Top Tube Length,557 mm,575 mm,587 mm,597 mm,610 mm,633 mm
Head Tube Length,130 mm,120 mm,144 mm,169 mm,194 mm,219 mm
Head Tube Angle,"72,5°","72,5°","72,5°","72,5°","72,5°","72,5°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,415 mm,415 mm,415 mm,415 mm
Wheel Base,1.002 mm,1.017 mm,1.029 mm,1.040 mm,1.053 mm,1.077 mm
Stack,519 mm,540 mm,563 mm,587 mm,611 mm,635 mm
Reach,403 mm,415 mm,420 mm,423 mm,429 mm,445 mm
Stand-over Height,712 mm,751 mm,782 mm,809 mm,838 mm,863 mm
Bottom Bracket Offset,60 mm,73 mm,73 mm,73 mm,73 mm,73 mm
Spacer,"25,0 mm","25,0 mm","25,0 mm","25,0 mm","25,0 mm","25,0 mm"
Cockpit Dimensions,80-600,80-600,90-600,100-600,110-600,110-600
Crank Length,"165,0 mm","170,0 mm","172,5 mm","175,0 mm","175,0 mm","175,0 mm"
Chainring Size,50/34,50/34,50/34,50/34,50/34,50/34
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm
Seat Post Insertion Depth,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm
Wheel Size,"27,5""","28""","28""","28""","28""","28"""
Disc Size,160 mm,160 mm,160 mm,160 mm,160 mm,160 mm
