attributes,2XS,XS,S,M,L
Body Height,< 154 cm,154 - 158 cm,158 - 164 cm,164 - 173 cm,> 173 cm
Seat Height,553 - 653 mm,593 - 693 mm,628 - 728 mm,668 - 768 mm,698 - 798 mm
Seat Tube Length,345 mm,385 mm,420 mm,460 mm,490 mm
Top Tube Length,522 mm,543 mm,564 mm,581 mm,594 mm
Head Tube Length,105 mm,115 mm,120 mm,150 mm,175 mm
Head Tube Angle,70°,"71,25°","72,15°","72,15°","72,15°"
Seat Tube Angle,74°,74°,74°,74°,74°
Chainstay Length,415 mm,415 mm,415 mm,415 mm,415 mm
Wheel Base,1.000 mm,1.010 mm,1.017 mm,1.035 mm,1.049 mm
Stack,519 mm,533 mm,554 mm,583 mm,606 mm
Reach,373 mm,390 mm,405 mm,414 mm,420 mm
Bottom Bracket Offset,60 mm,60 mm,73 mm,73 mm,73 mm
Spacer,"25,0 mm","25,0 mm","25,0 mm","25,0 mm","25,0 mm"
Stem Length,80 mm,80 mm,80 mm,90 mm,100 mm
Handlebar Width,600 mm,600 mm,600 mm,600 mm,600 mm
Crank Length,"165,0 mm","165,0 mm","170,0 mm","172,5 mm","175,0 mm"
Chainring Size,50/34,50/34,50/34,50/34,50/34
Seat Post Diameter,"30,9 mm","30,9 mm","30,9 mm","30,9 mm","30,9 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,190 mm,190 mm,190 mm,190 mm,190 mm
Seat Post Insertion Depth,90 mm,90 mm,90 mm,90 mm,90 mm
Wheel Size,"27,5""","27,5""","27,5""","28""","28"""
Disc Size,160 mm,160 mm,160 mm,160 mm,160 mm
